,name,overview,serviceFocus,industryFocus,education,barAdmissions,courtAdmissions,recognitions,affiliations
10,Christopher Conti,"Christopher Conti is a Partner in the San Diego office of Fisher Phillips. Chris dedicates his practice to providing businesses with sophisticated legal solutions in all aspects of labor and employment law. Throughout his career, Chris has vigorously defended unionized and non-unionized employers in a variety of matters, such as wrongful termination, sexual harassment, discrimination, and retaliation lawsuits, class and representative wage and hour matters, and complex business cases. Chris is also well-versed in handling traditional labor disputes, labor arbitrations, union organizing, and unfair labor practice charges before the National Labor Relations Board. In addition to his litigation practice, Chris routinely provides practical advice and counseling on day-to-day employment issues. His experience crosses various industry verticals, including construction, retail, fast-food, energy, manufacturing, automotive, hospitality, and cannabis.   During his career, Chris has litigated two civil trials where he obtained defense verdicts for his clients. He has also tried multiple labor arbitrations in matters concerning employee discipline, contract disputes, and bargaining unit composition. Before joining Fisher Phillips, Chris worked for a national full-service firm and a mid-sized labor and employment firm where he gained experience in trials, labor arbitrations, and union-management relations.","['Class and Collective Actions', 'Employee Leaves and Accommodations', 'Employment Discrimination and Harassment', 'Labor Relations']",['Automotive Dealership'],"['J.D., 1990, Fordham University School of Law', 'B.S., 1987, Cornell University School of Industrial and Labor Relations']","['District of Columbia', 'Maryland', 'New York', 'Virginia']","['U.S. Court of Appeals for the First Circuit', 'U.S. Court of Appeals for the Fourth Circuit', 'U.S. District Court for the District of Columbia', 'U.S. District Court for the District of Maryland', 'U.S. District Court for the Eastern District of Michigan', 'U.S. District Court for the Eastern District of New York', 'U.S. District Court for the Eastern District of Virginia', 'U.S. District Court for the Northern District of Florida', 'U.S. District Court for the Northern District of New York', 'U.S. District Court for the Southern District of New York', 'U.S. District Court for the Southern District of Texas', 'U.S. District Court for the Western District of Virginia']","['Obtained a complete defense verdict on behalf of a national fleet management company in a 5-day jury trial regarding claims of racial discrimination, harassment, battery, and constructive discharge.', 'Defended multiple fast-food franchises in complex wage and hour class and representative PAGA claims through resolution.', 'Obtained summary adjudication on behalf of an international energy client regarding religious discrimination, accommodation, retaliation, and wage and hour claims.', 'Defended multiple cannabis clients in complex wage and hour cases, individual employment disputes, and traditional labor issues. Frequently counsel cannabis businesses on compliance with the Medical and Adult-Use Cannabis Regulation and Safety Act, including Labor Peace Agreement compliance and negotiation.', 'Possesses substantial experience with union representation cases and organizing campaigns. Negotiated election agreement and assisted in a successful employer campaign at a national grocery chain.', 'Secured multiple victories in labor arbitrations concerning discipline and discharge of public and private employees.', 'Secured victories in arbitration involving a challenge to the unilateral modification of healthcare benefits offered by a national manufacturing client and a petition to severe/modify a county-wide collective bargaining unit.', 'Effectively served as lead counsel for a large public employer in the City of San Bernardino Chapter 9 Bankruptcy proceeding.']","['J.D., 2010, University of San Diego School of Law', 'B.A., 2004, Gettysburg College', 'California', 'U.S. Court of Appeals for the Ninth Circuit', 'U.S. District Court for the Central District of California', 'U.S. District Court for the Southern District of California']"
11,Collin D. Cook,"Collin Cook is a partner in the firm’s San Francisco and Irvine offices and co-chair of the Construction Industry Group.  Collin’s practice focuses on employment litigation, including the defense of discrimination, retaliation, harassment and wrongful termination actions. He also routinely represents employers in wage and hour class and representative actions and litigates restrictive covenant and trade secret disputes.  Collin has broad experience in prevailing wage and workplace safety matters. In addition, he regularly partners with human resource professionals, corporate counsel and business owners to solve challenging employment issues that arise in the workplace. Prior to joining Fisher Phillips, Collin worked in the Office of the General Counsel of Volkswagen of America and the Legal Department of Hyundai Motor America.  While in law school, he served as a Judicial Extern to Associate Justice Daniel A. Curry at the California Court of Appeal, Second Appellate District, and studied international law in Germany.","['Class and Collective Actions', 'Counseling and Advice', 'Employee Defection and Trade Secrets', 'Employment Discrimination and Harassment', 'Litigation and Trials', 'Wage and Hour', 'Workplace Safety and Catastrophe Management', 'Affirmative Action and Federal Contract Compliance', 'FCRA and Background Screening']","['Automotive Dealership', 'Aviation', 'Construction', 'Retail', 'Supply Chain', 'Transportation and Supply Chain']","['J.D., 2007, Loyola Marymount University, Loyola Law School', 'B.A., 2004, University of California, Los Angeles']",['California'],"['California Supreme Court', 'U.S. Court of Appeals for the Ninth Circuit', 'U.S. District Court for the Central District of California', 'U.S. District Court for the Eastern District of California', 'U.S. District Court for the Northern District of California', 'U.S. District Court for the Southern District of California']","['Southern California Super Lawyers - ""Rising Stars"" (2016)', 'Southern California Super Lawyers - ""Rising Stars"" (2017)']","['Member, Employment Law Section, Contra Costa County Bar Association', 'Member, Labor and Employment Section, Orange County Bar Association', 'Member, Labor and Employment Section, The Bar Association of San Francisco', 'Legal Advisory Committee, Associated General Contractors of California', '\nLabor and Employment Law Council, Associated General Contractors of America\n', 'Collin provides pro bono legal counsel to the Downtown Streets Team, a non-profit organization committed to ending homelessness in the bay area.']"
12,Jessica T. Cook,"Jessica Cook is a partner in the Atlanta office and a member of the firm's Immigration Practice Group. Jessica's practice focuses on immigration and nationality law. Jessica has extensive experience representing and advising employers in all areas of business immigration, including temporary employment visas, labor certifications, permanent residency, and outbound visas. She advises employers regarding compliance with the Form I-9, including government audits of I-9 forms. She conducts I-9 and E-Verify compliance training, performs I-9 audits and frequently speaks on immigration topics. Jessica represents local, national and multi-national companies with regard to their immigration needs in such industries as higher education, health care, information technology, manufacturing, and other fields. Jessica is a member of the American Immigration Lawyers Association (AILA). She was selected for inclusion in The Legal 500 – Immigration in 2015. She was also selected to Daily Report's ""On the Rise"" Class of 2016.",['Immigration'],"['Automotive Dealership', 'Aviation', 'Construction', 'Retail', 'Supply Chain', 'Transportation and Supply Chain']","['J.D., 2007, Loyola Marymount University, Loyola Law School', 'B.A., 2004, University of California, Los Angeles']",['California'],"['California Supreme Court', 'U.S. Court of Appeals for the Ninth Circuit', 'U.S. District Court for the Central District of California', 'U.S. District Court for the Eastern District of California', 'U.S. District Court for the Northern District of California', 'U.S. District Court for the Southern District of California']","['Permanent residence cases for Aliens of Extraordinary Ability and Outstanding Researchers (including scientists,\xa0and internationally-recognized academics)\xa0and University and College faculty (special handling cases).', '0-1 non-immigrant visas\xa0for\xa0individuals\xa0who possesses extraordinary ability in the sciences, arts, education, business,\xa0or athletics.', 'Representation of employers in connection with U.S.\xa0governmental agency audits and investigations, including H-2B U.S. Department of Labor Wage and Hour Division audits/investigations and\xa0Form\xa0I-9\xa0compliance audits by U.S. Immigration and Customs Enforcement.']","['J.D., 2004, William and Mary School of Law', 'B.A., 2001, summa cum laude, Oakwood College', 'Georgia', 'Georgia Supreme Court', 'Virginia Supreme Court', 'U.S. District Court for the Western District of Virginia']"
13,Laurel K. Cornell,"Laurel Cornell is the managing partner of the firm's Louisville office and co-chair of the firm's Healthcare Industry Group. Her practice involves representing employers in litigation of employment disputes involving Title VII, the Family and Medical Leave Act (FMLA), retaliation, breach of contract, and wrongful termination claims.  She also has experience advising and representing employers in administrative actions. While in law school, Laurel was a member of the Kentucky Law Journal.  Laurel was listed in The Best Lawyers in America in 2019 - 2021. She has also been listed in Chambers USA, America's Leading Business Lawyers, and Kentucky Super Lawyers - Rising Stars since 2013.","['Counseling and Advice', 'Employment Discrimination and Harassment', 'Litigation and Trials']",['Healthcare'],"['J.D., 2007, University of Kentucky College of Law', 'B.A., 2003, summa cum laude, University of Kentucky']",['Kentucky'],"['U.S. Court of Appeals for the Sixth Circuit', 'U.S. District Court for the Eastern District of Kentucky', 'U.S. District Court for the Northern District of Indiana', 'U.S. District Court for the Southern District of Indiana', 'U.S. District Court for the Western District of Kentucky']","['Recommended as a leading practitioner for Workplace and Employment Counseling by\xa0The Legal 500 United States\xa0(2023)', 'Recognized in The Best Lawyers in America (2019 – 2024)', 'Chambers USA, Labor & Employment (2013 – 2023)', 'Listed in Kentucky Super Lawyers - Rising Stars since 2013']","[""Chair, Louisville Bar Association's Labor & Employment Section (2012)"", ""Vice Chair, Louisville Bar Association's Labor & Employment Section (2011)""]"
14,Brent A. Cossrow,"Brent Cossrow is a partner in the Philadelphia office, where his practice focuses on employment litigation and counseling and the use of computers, the Internet, smart phone applications, electronic mail and communications and other electronically stored information in the American workplace. Brent has litigated and obtained victories in cases involving employment contract claims, business torts, trade secret misappropriation, computer fraud and evidence destruction and manipulation. Brent is a member of the firm’s Employee Defection and Trade Secrets practice group and a founding member of the eDiscovery and Digital Workplace practice group. Also, he is the Chair Emeritus of Fisher Phillips’ eDiscovery Committee, in which capacity he managed the firm’s national eDiscovery attorneys and personnel. As a part of his nationwide practice, Brent has prosecuted and defended matters in which forensics and eDiscovery have helped clients to obtain positive results in a range of consequential employment cases across the firm’s practice groups. Brent is a frequent speaker and lecturer on legal issues that arise in the electronic workplace, and he has been a regular faculty member on this topic at the Pennsylvania Bar Institute’s Employment Law Institute. Brent is ""AV"" Peer Review Rated by Martindale-Hubbell.","['eDiscovery and Digital Workplace', 'Employee Defection and Trade Secrets', 'Litigation and Trials']",['Healthcare'],"['J.D., University of Pittsburgh School of Law', 'B.A., Middlebury College']","['New Jersey', 'Pennsylvania']","['U.S. Court of Appeals for the Fourth Circuit', 'U.S. District Court for the District of New Jersey', 'U.S. District Court for the Eastern District of Pennsylvania']","['Member, Defense Research Institute', 'Member, Pennsylvania Bar Association', 'Member, Philadelphia Bar Association', 'Chairman, The Reading Terminal Market Corporation (2022-present)', 'Vice Chairman, The Reading Terminal Market Corporation (2012-2022)', 'Director, The Reading Terminal Market Corporation (2009-present)', ""General Counsel, The Reading Terminal Market Merchants' Association (2007-2009)"", 'Director, The Germantown Cricket Club (2006-2010)']",['null']
15,Brian J. Coughlin,"Brian Coughlin has more than fifteen years of experience advising businesses on immigration issues including employment authorization, corporate policy drafting, employee training, and regulatory enforcement and compliance. He also counsels employers on immigration-related due diligence issues, helping to manage risk in connection with business combinations, restructuring, and startups. Brian assists clients in preparing employment-based and family-based immigrant petitions, U.S. lawful permanent residence processing, and all categories of nonimmigrant visas. Brian is committed to the use of innovative technology and business processes to streamline his practice and create solutions to challenging legal and case production issues. He represents clients across all industries, including engineering services, management and IT consulting, automotive, manufacturing, logistics and travel, biotech, communications technology, and media. Brian’s clients range from small, venture-backed start-ups to some of the world’s largest corporate employers. Brian joined Fisher Phillips after practicing immigration law at several prominent U.S. and global law firms. He is frequently invited to speak and publish on business immigration topics.","['Counseling and Advice', 'Immigration']","['Life Sciences', 'Transportation and Supply Chain', 'Supply Chain']","['J.D., 2005, Suffolk University Law School', 'B.A., 2001, Boston College']",['Massachusetts'],['U.S. District Court for the District of Massachusetts'],"['Massachusetts Super Lawyers “Rising Star” (2013-2016)', 'Recommended as a leading practitioner for Immigration Law by\xa0The Legal 500 United States\xa0(2023)']","['American Immigration Lawyers Association', 'Boston Bar Association, Co-Chair of the Immigration Steering Committee', 'Council for Global Immigration', 'MetroWest Chamber of Commerce, Board of Directors', 'USA 500 Clubs']"
16,Leanne Lane Coyle,"Leanne Coyle defends employers of various sizes in federal and state court litigation involving all major employment statutes, including cases involving allegations of discrimination, wage and hour disputes, and other issues arising under federal, state and local laws. Leanne’s experience includes representing clients in matters involving federal claims under the Family and Medical Leave Act (FMLA), Americans with Disabilities Act (ADA), the Fair Labor Standards Act (FLSA), Title VII of the Civil Rights Act of 1964, the Age Discrimination in Employment Act (ADEA), Occupational Safety and Health Act (OSHA), and the National Labor Relations Act (NLRA), as well as state law claims under the Pennsylvania Human Relations Act, New Jersey Law Against Discrimination, Pennsylvania Whistleblower Law, and the New Jersey Conscientious Employee Protection Act. Leanne also applies her litigation experience to help her advise employers on proactive compliance and preventive strategies. She also helps companies by conducting wage and hour and pay practices audits; creating employee manuals; and drafting executive severance agreements, among other services. Prior to joining Fisher Phillips, she served as an employment and labor litigation associate for an East Coast-based firm where she also focused primarily on workplace law matters. She has handled matters involving employment situations arising out of a wide range of industries, including healthcare, energy extraction services, municipalities, health information technology, and public transit.","['Employment Discrimination and Harassment', 'Litigation and Trials', 'Counseling and Advice']","['Life Sciences', 'Transportation and Supply Chain', 'Supply Chain']","['J.D., 2016, Temple University, Beasley School of Law', 'B.A., 2012, Pennsylvania State University']","['New Jersey', 'New York', 'Pennsylvania']","['U.S. District Court for the District of New Jersey', 'U.S. District Court for the Eastern District of Pennsylvania', 'U.S. District Court for the Middle District of Pennsylvania', 'U.S. District Court for the Western District of Pennsylvania']","['Super Lawyers Rising Star, Pennsylvania – Employment Litigation (2020-2023)']","['Philadelphia Bar Association, Women in the Profession and Labor & Employment Committees', 'American Bar Association, Labor & Employment Law Section', 'Committee Member, The Leukemia & Lymphoma Society', 'Volunteer, The Breathing Room Foundation']"
17,Andrew C. Crane,"Andrew Crane has spent his entire career focused solely on representing the interests of employers, including before state and federal courts, and state and federal agencies such as the California Department of Fair Employment and Housing (DFEH), the Equal Employment Opportunity Commission (EEOC), and the Department of Labor, Division of Labor Standards Enforcement (DLSE). Andrew has significant experience defending and counseling employers of all sizes on issues of California and federal employment law, such as wage and hour, employee classification, and federal and state harassment, discrimination, and retaliation matters.  Andrew frequently advises employers on issues they face on a day-to-day basis, such as employee discipline and terminations, harassment and discrimination issues, and state and federal wage and hour laws.  He also guides employers through complicated privacy and security matters, including pursuing employees who exit with confidential information and employer trade secrets to safeguard his clients’ most valuable information.  In addition to employment matters, Andrew also represents and advises companies regarding compliance with Title III of the Americans with Disabilities Act (ADA) and similar California statutes, such as the Unruh Act and California Disabled Persons Act, including compliance with website accessibility standards.  Andrew has experience representing companies at both the trial and appellate level on Title III issues, including before the 9th Circuit Court of Appeals.","['Consumer Privacy Team', 'Data Security and Workplace Privacy', 'Employee Defection and Trade Secrets', 'Employment Discrimination and Harassment', 'Litigation and Trials', 'Wage and Hour']","['Life Sciences', 'Transportation and Supply Chain', 'Supply Chain']","['J.D., 2012, University of Southern California, Gould School of Law', 'B.A., 2006, cum laude, Boston College']",['California'],"['U.S. Court of Appeals for the Ninth Circuit', 'U.S. District Court for the Central District of California', 'U.S. District Court for the Northern District of California', 'U.S. District Court for the Southern District of California']","['Recognized in The Best Lawyers in America, Ones to Watch (2022 - 2023)']",['null']
18,Myra K. Creighton,"Myra Creighton is a partner in the firm's Atlanta office. Her practice focuses on advising clients concerning their obligations to employees under the Americans with Disabilities Act (ADA) and the Family and Medical Leave Act (FMLA), ensuring their policies and procedures are consistent with both these laws and defending clients against employee claims alleging violations of the ADA and FMLA. She also counsels and defends clients concerning Title VII, the Age Discrimination in Employment Act (ADEA), and Genetic Information Nondiscrimination Act (GINA) issues that arise in the workplace. Myra routinely presents seminars, webinars, and training programs on ADA and FMLA topics such as Substance Abuse under the ADA, Managing the Medical Certification Process under the FMLA, Controlling Intermittent Leave under the FMLA, Reasonable Accommodation and the Interactive Process Under the ADA, and Medical Examinations and Inquiries under the ADA. Myra authored the chapter entitled ""Mental Disabilities Under the Americans with Disabilities Act"" in the treatise, Mental and Emotional Injuries in Employment Litigation, Second Edition, published by the Bureau of National Affairs in 2001, and the 2006 and 2008 Supplements to the chapter. She co-authored ""No Good Deed Goes Unpunished: Employee Assistance Programs As Sources of Liability,"" 24 Employee Relations Law Journal 79 (1998); and ""Mental Disabilities Under the Americans with Disabilities Act: A Management Rights Approach,"" 20 Employee Relations Law Journal 541 (1995), as well as multiple other articles on ADA topics. Prior to joining Fisher Phillips in 1993, Myra was a law clerk for Judge Duross Fitzpatrick of the U.S. District Court for the Middle District of Georgia. She is ""AV"" Peer Review Rated by Martindale-Hubbell.",['Employee Leaves and Accommodations'],"['Education', 'Financial Services', 'Healthcare', 'Higher Education', 'Hospitality', 'K-12 Institutions', 'Sports']","['J.D., 1991, cum laude, University of Georgia School of Law', 'B.A., 1985, cum laude, Vanderbilt University']",['Georgia'],"['U.S. Court of Appeals for the Ninth Circuit', 'U.S. District Court for the Central District of California', 'U.S. District Court for the Northern District of California', 'U.S. District Court for the Southern District of California']",['null'],['null']
19,Jeffrey M. Csercsevits,"Jeffrey M. Csercsevits is a Partner in the Philadelphia office, where he focuses his national practice on counseling and representing employers in a variety of employment-related issues, including trade secrets and restrictive covenant agreements.    Jeff has prosecuted and defended injunctive relief actions in state and federal courts throughout the United States.  These matters involve claims of trade secret misappropriation, as well as breaches of non-compete agreements, non-solicit agreements, and confidentiality agreements. In addition to injunctive relief litigation, Jeff has substantial experience in the financial services industry where he regularly handles employment disputes on behalf of national clients.  He has represented industry firms and financial advisors in over 100 FINRA arbitration actions.  Jeff has arbitration experience with employment agreements, transition and retention loans, sunset/retirement agreements, teaming agreements, unfair competition, wrongful termination, constructive discharge, compensation issues, and Form U-5 defamation. Jeff regularly counsels clients on employee recruitment and hiring.  In this capacity, he evaluates potential legal risks associated with hiring employees from the competition and offers strategic guidance for minimizing legal risk while still advancing business interests and promoting corporate growth.    Jeff also has extensive experience counseling clients on the loss of an employee to the competition and has handled hundreds of employee defections.  He has worked with clients to investigate breaches of post-employment obligations and to develop and implement enforcement strategies.    He has also investigated employees who are perceived flight risks and provides counsel on anticipatory strategies to minimize the impact of the expected resignation.  Jeff is also experienced with forensic investigations to assess an employee’s removal of trade secret information through electronic means in preparation for departure.    Upon completion of law school, Jeff served as a law clerk to Honorable Paul T. Koenig, Jr., the Honorable Paul Innes, and the Honorable Bill Mathesisus in the Superior Court of New Jersey. ","['Data Security and Workplace Privacy', 'Employee Defection and Trade Secrets', 'Litigation and Trials', 'Employment Discrimination and Harassment']",['Financial Services'],"['J.D., 1991, cum laude, University of Georgia School of Law', 'B.A., 1985, cum laude, Vanderbilt University']",['Georgia'],"['U.S. Court of Appeals for the Ninth Circuit', 'U.S. District Court for the Central District of California', 'U.S. District Court for the Northern District of California', 'U.S. District Court for the Southern District of California']","['Represented a team of employees and their new employer where their former employer’s seven figure damages claim, based on alleged violations of their non-solicitation agreements, was denied in its entirety.', 'Secured a permanent injunction against an employee who was using misappropriated trade secrets to solicit business away from our client.', 'Represented an employee where his former employer’s motion for a permanent injunction, based on alleged trade secret misappropriation and breach of restrictive covenants, was denied.', 'Represented an employer in obtaining a temporary restraining order against a former employee, based on the misappropriation of trade secrets, enabling our client to protect against the disclosure of its trade secrets to a competitor.', 'Obtained a temporary restraining order against a team of employees for breaching non-solicitation agreements, which protected our client’s continued relationships with its customers.', 'Represented a team of employees and their new employer where their former employer’s motion for a temporary restraining order and motion for a preliminary injunction, based on allegations of trade secret misappropriation and breaches of their employment agreements, were both denied.', 'Represented a team of employees and their new employer where their former employer’s motion for a preliminary injunction, based on alleged trade secret misappropriation and violations of their restrictive covenant agreements, was denied.', 'Represented a team of employees where their former employer’s motion for a temporary restraining order, based on claims of trade secret misappropriation and breaches of their non-solicitation agreements, was denied.\xa0', 'Obtained a $1.8 million arbitration award on behalf of an employer in a breach of contract action. Successfully defended against the former employee’s counterclaims, including breach of contract, constructive discharge, and defamation.', 'Obtained a $1.1 million arbitration award on behalf of an employer in a breach of contract action. Successfully defended against the former employee’s counterclaims, including fraudulent inducement, negligent misrepresentation, breach of contract, and defamation.', 'Obtained a $965,000 arbitration award on behalf of an employer in a breach of contract action. Successfully defended against the former employee’s counterclaims for wrongful termination, defamation, tortious interference, and violation of the Lanham Act.']","['LL.M., 2022, Temple University, Beasley School of Law', 'J.D., 2006, Syracuse University College of Law', 'B.S., 2003, Villanova University', 'Michigan', 'New Jersey', 'Pennsylvania', 'U.S. District Court for the District of New Jersey', 'U.S. District Court for the Eastern District of Michigan', 'U.S. District Court for the Eastern District of Pennsylvania', 'U.S. District Court for the Middle District of Pennsylvania', 'U.S. District Court for the Western District of Pennsylvania']"
